2026-05-24T21:17:36.510+08:00	frame=0	bvp=0.746223	hr=59.907	rmssd=nan	sdnn=nan	quality=0.321	va_mode=vision	fatigue_state=ready	fatigue_raw=0.458	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=0.014	arousal_raw=-0.339	valence_calib=0.624	arousal_calib=0.313	va_calib_state=ready
2026-05-24T21:17:57.941+08:00	frame=0	bvp=-1.123945	hr=119.814	rmssd=nan	sdnn=nan	quality=0.236	va_mode=vision	fatigue_state=ready	fatigue_raw=0.913	fatigue_calib=0.362	calib_baseline=0.943	valence_raw=0.199	arousal_raw=-0.193	valence_calib=0.909	arousal_calib=0.677	va_calib_state=ready
2026-05-24T21:18:20.196+08:00	frame=0	bvp=0.869171	hr=66.563	rmssd=nan	sdnn=nan	quality=0.312	va_mode=vision	fatigue_state=ready	fatigue_raw=0.933	fatigue_calib=0.453	calib_baseline=0.943	valence_raw=0.103	arousal_raw=-0.345	valence_calib=0.761	arousal_calib=0.299	va_calib_state=ready
2026-05-24T21:18:41.581+08:00	frame=0	bvp=-0.080612	hr=119.814	rmssd=nan	sdnn=nan	quality=0.268	va_mode=vision	fatigue_state=ready	fatigue_raw=0.928	fatigue_calib=0.430	calib_baseline=0.943	valence_raw=0.116	arousal_raw=-0.325	valence_calib=0.780	arousal_calib=0.347	va_calib_state=ready
2026-05-24T21:19:02.011+08:00	frame=0	bvp=-0.194972	hr=79.876	rmssd=nan	sdnn=nan	quality=0.233	va_mode=vision	fatigue_state=ready	fatigue_raw=0.650	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=0.085	arousal_raw=-0.262	valence_calib=0.732	arousal_calib=0.506	va_calib_state=ready
2026-05-24T21:19:20.355+08:00	frame=0	bvp=0.577256	hr=119.814	rmssd=nan	sdnn=nan	quality=0.216	va_mode=vision	fatigue_state=ready	fatigue_raw=0.415	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=0.049	arousal_raw=-0.323	valence_calib=0.678	arousal_calib=0.353	va_calib_state=ready
2026-05-24T21:19:40.651+08:00	frame=0	bvp=0.061022	hr=73.220	rmssd=nan	sdnn=nan	quality=0.195	va_mode=vision	fatigue_state=ready	fatigue_raw=0.961	fatigue_calib=0.586	calib_baseline=0.943	valence_raw=0.048	arousal_raw=-0.205	valence_calib=0.675	arousal_calib=0.647	va_calib_state=ready
2026-05-24T21:20:02.134+08:00	frame=0	bvp=0.014053	hr=59.907	rmssd=nan	sdnn=nan	quality=0.282	va_mode=vision	fatigue_state=ready	fatigue_raw=0.909	fatigue_calib=0.344	calib_baseline=0.943	valence_raw=0.022	arousal_raw=-0.125	valence_calib=0.636	arousal_calib=0.844	va_calib_state=ready
2026-05-24T21:20:22.344+08:00	frame=0	bvp=0.008099	hr=126.470	rmssd=nan	sdnn=nan	quality=0.181	va_mode=vision	fatigue_state=ready	fatigue_raw=0.904	fatigue_calib=0.319	calib_baseline=0.943	valence_raw=0.029	arousal_raw=-0.200	valence_calib=0.646	arousal_calib=0.658	va_calib_state=ready
2026-05-24T21:20:39.702+08:00	frame=0	bvp=0.287930	hr=126.470	rmssd=nan	sdnn=nan	quality=0.216	va_mode=vision	fatigue_state=ready	fatigue_raw=0.767	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=0.000	arousal_raw=-0.304	valence_calib=0.602	arousal_calib=0.401	va_calib_state=ready
2026-05-24T21:21:00.915+08:00	frame=0	bvp=-0.633791	hr=79.876	rmssd=nan	sdnn=nan	quality=0.286	va_mode=vision	fatigue_state=ready	fatigue_raw=0.474	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=0.021	arousal_raw=-0.314	valence_calib=0.634	arousal_calib=0.377	va_calib_state=ready
2026-05-24T21:21:21.544+08:00	frame=0	bvp=-0.512404	hr=119.814	rmssd=nan	sdnn=nan	quality=0.262	va_mode=vision	fatigue_state=ready	fatigue_raw=0.523	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=0.065	arousal_raw=-0.314	valence_calib=0.702	arousal_calib=0.377	va_calib_state=ready
2026-05-24T21:21:42.875+08:00	frame=0	bvp=-1.031221	hr=73.220	rmssd=nan	sdnn=nan	quality=0.202	va_mode=vision	fatigue_state=ready	fatigue_raw=0.987	fatigue_calib=0.710	calib_baseline=0.943	valence_raw=-0.005	arousal_raw=-0.254	valence_calib=0.594	arousal_calib=0.525	va_calib_state=ready
2026-05-24T21:22:14.717+08:00	frame=0	bvp=0.346814	hr=66.563	rmssd=nan	sdnn=nan	quality=0.320	va_mode=vision	fatigue_state=ready	fatigue_raw=0.997	fatigue_calib=0.757	calib_baseline=0.943	valence_raw=0.040	arousal_raw=-0.207	valence_calib=0.664	arousal_calib=0.642	va_calib_state=ready
2026-05-24T21:23:07.401+08:00	frame=0	bvp=0.692621	hr=66.563	rmssd=nan	sdnn=nan	quality=0.282	va_mode=vision	fatigue_state=ready	fatigue_raw=0.761	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=-0.070	arousal_raw=-0.057	valence_calib=0.494	arousal_calib=1.000	va_calib_state=ready
2026-05-24T21:23:28.577+08:00	frame=0	bvp=-0.132279	hr=59.907	rmssd=nan	sdnn=nan	quality=0.264	va_mode=vision	fatigue_state=ready	fatigue_raw=0.866	fatigue_calib=0.141	calib_baseline=0.943	valence_raw=-0.087	arousal_raw=-0.027	valence_calib=0.467	arousal_calib=1.000	va_calib_state=ready
2026-05-24T21:23:50.007+08:00	frame=0	bvp=-0.003478	hr=66.563	rmssd=nan	sdnn=nan	quality=0.243	va_mode=vision	fatigue_state=ready	fatigue_raw=0.665	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=-0.089	arousal_raw=0.011	valence_calib=0.465	arousal_calib=1.000	va_calib_state=ready
